Time (s) Run #1	Position (m) Run #1	Velocity (m/s) Run #1	Acceleration (m/s²) Run #1	h (m) Run #1	PE (J) Run #1	KE (J) Run #1	TE (J) Run #1	Time (s) Run #2	Position (m) Run #2	Velocity (m/s) Run #2	Acceleration (m/s²) Run #2	h (m) Run #2	PE (J) Run #2	KE (J) Run #2	TE (J) Run #2
1.750	0.88	-0.68	9.84	0.88	0.31	0.01	0.31	0.700	0.77	3.69	8.19	0.77	0.27	0.24	0.51
1.800	0.86	-0.23	9.42	0.86	0.30	9.34E-4	0.30	0.720	0.84	3.91	11.07	0.84	0.29	0.27	0.56
1.850	0.86	0.23	9.63	0.86	0.30	9.46E-4	0.30	0.740	0.92	4.13	13.53	0.92	0.32	0.30	0.62
1.900	0.88	0.74	9.88	0.88	0.30	0.01	0.31	0.760	1.01	4.45	11.03	1.01	0.35	0.35	0.70
1.950	0.93	1.24	9.93	0.93	0.32	0.03	0.35	0.780	1.10	4.77	-10.19	1.10	0.38	0.40	0.78
2.000	1.00	1.72	6.79	1.00	0.35	0.05	0.40	0.800	1.20	4.59	-55.82	1.20	0.42	0.37	0.79
2.050	1.10	2.23	-2.69	1.10	0.38	0.09	0.47	0.820	1.30	2.77	-103.17	1.30	0.45	0.14	0.59
2.100	1.22	1.79	-15.70	1.22	0.42	0.06	0.48	0.840	1.36	-0.24	-115.44	1.36	0.47	0.00	0.47
2.150	1.38	0.37	-22.73	1.38	0.48	0.00	0.48	0.860	1.28	-2.77	-80.89	1.28	0.44	0.14	0.58
2.200	1.26	-1.13	-16.79	1.26	0.44	0.02	0.46	0.880	1.20	-3.72	-30.69	1.20	0.42	0.24	0.66
2.250	1.17	-1.67	-3.80	1.17	0.41	0.05	0.46	0.900	1.12	-3.47	1.82	1.12	0.39	0.21	0.60
2.300	1.09	-1.20	6.42	1.09	0.38	0.03	0.41	0.920	1.06	-3.23	10.55	1.06	0.37	0.19	0.55
2.350	1.05	-0.70	10.03	1.05	0.36	0.01	0.37	0.940	1.00	-3.04	9.49	1.00	0.35	0.16	0.51
2.400	1.03	-0.18	9.97	1.03	0.36	5.57E-4	0.36	0.960	0.94	-2.88	11.23	0.94	0.33	0.15	0.47
2.450	1.03	0.31	9.81	1.03	0.36	0.00	0.36	0.980	0.88	-2.68	15.37	0.88	0.31	0.13	0.43
2.500	1.06	0.78	8.93	1.06	0.37	0.01	0.38	1.000	0.83	-2.24	16.09	0.83	0.29	0.09	0.38
2.550	1.11	1.29	4.63	1.11	0.38	0.03	0.41	1.020	0.78	-1.83	9.15	0.78	0.27	0.06	0.33
2.600	1.18	1.52	-4.22	1.18	0.41	0.04	0.45	1.040	0.77	-1.80	-0.11	0.77	0.27	0.06	0.32
2.650	1.29	0.95	-13.20	1.29	0.45	0.02	0.46	1.060	0.72	-2.03	-0.94	0.72	0.25	0.07	0.32
2.700	1.33	-0.15	-14.44	1.33	0.46	4.13E-4	0.46	1.080	0.67	-2.06	6.78	0.67	0.23	0.08	0.31
2.750	1.24	-1.00	-6.75	1.24	0.43	0.02	0.45	1.100	0.64	-1.68	13.72	0.64	0.22	0.05	0.27
2.800	1.18	-0.86	2.61	1.18	0.41	0.01	0.42	1.120	0.61	-1.33	14.29	0.61	0.21	0.03	0.24
2.850	1.14	-0.37	7.67	1.14	0.40	0.00	0.40	1.140	0.58	-1.11	11.61	0.58	0.20	0.02	0.22
2.900	1.18	-8.52E-4	8.52	1.18	0.41	1.29E-8	0.41	1.160	0.56	-0.92	10.49	0.56	0.20	0.01	0.21
2.950	1.14	0.45	7.86	1.14	0.39	0.00	0.40	1.180	0.55	-0.70	10.63	0.55	0.19	0.01	0.20
3.000	1.18	0.89	3.99	1.18	0.41	0.01	0.43	1.200	0.54	-0.48	10.75	0.54	0.19	0.00	0.19
3.050	1.27	1.11	-3.41	1.27	0.44	0.02	0.46	1.220	0.53	-0.28	10.62	0.53	0.18	0.00	0.18
3.100	1.31	0.54	-9.59	1.31	0.46	0.01	0.46	1.240	0.53	-0.05	10.22	0.53	0.18	5.22E-5	0.18
3.150	1.34	-0.23	-9.68	1.34	0.47	9.12E-4	0.47	1.260	0.53	0.15	9.44	0.53	0.18	3.98E-4	0.18
3.200	1.27	-0.66	-3.62	1.27	0.44	0.01	0.45	1.280	0.53	0.32	9.35	0.53	0.19	0.00	0.19
3.250	1.24	-0.60	3.32	1.24	0.43	0.01	0.44	1.300	0.54	0.48	12.07	0.54	0.19	0.00	0.19
3.300	1.22	-0.18	7.75	1.22	0.42	5.46E-4	0.42	1.320	0.55	0.74	15.51	0.55	0.19	0.01	0.20
3.350	1.22	0.29	7.63	1.22	0.42	0.00	0.42	1.340	0.57	1.18	14.01	0.57	0.20	0.02	0.22
3.400	1.24	0.78	2.70	1.24	0.43	0.01	0.44	1.360	0.59	1.48	5.96	0.59	0.21	0.04	0.25
3.450	1.30	0.73	-4.28	1.30	0.45	0.01	0.46	1.380	0.64	1.42	-0.80	0.64	0.22	0.04	0.26
3.500	1.37	0.18	-8.01	1.37	0.48	6.06E-4	0.48	1.400	0.66	1.22	1.62	0.66	0.23	0.03	0.25
3.550	1.31	-0.41	-4.72	1.31	0.46	0.00	0.46	1.420	0.67	1.35	9.36	0.67	0.23	0.03	0.27
3.600	1.29	-0.48	2.36	1.29	0.45	0.00	0.45	1.440	0.70	1.74	13.02	0.70	0.24	0.05	0.30
3.650	1.26	-0.01	6.43	1.26	0.44	2.22E-6	0.44	1.460	0.75	2.02	10.79	0.75	0.26	0.07	0.33
3.700	1.28	0.50	3.76	1.28	0.44	0.00	0.45	1.480	0.79	2.11	8.93	0.79	0.27	0.08	0.35
3.750	1.32	0.54	-2.38	1.32	0.46	0.01	0.46	1.500	0.83	2.27	10.34	0.83	0.29	0.09	0.38
3.800	1.38	0.09	-5.16	1.38	0.48	1.49E-4	0.48	1.520	0.88	2.56	12.69	0.88	0.30	0.12	0.42
3.850	1.32	-0.32		1.32	0.46	0.00	0.46	1.540	0.93	2.82	12.63	0.93	0.32	0.14	0.46
3.900	1.30	-0.19		1.30	0.45	6.59E-4	0.45	1.560	0.99	3.10	10.32	0.99	0.34	0.17	0.51
3.950	1.30			1.30	0.45			1.580	1.06	3.25	9.18	1.06	0.37	0.19	0.55
								1.600	1.13	3.36	4.12	1.13	0.39	0.20	0.59
								1.620	1.19	3.65	-17.38	1.19	0.41	0.24	0.65
								1.640	1.26	3.19	-57.56	1.26	0.44	0.18	0.62
								1.660	1.36	1.34	-91.18	1.36	0.47	0.03	0.50
								1.680	1.34	-1.23	-86.79	1.34	0.46	0.03	0.49
								1.700	1.27	-2.87	-48.43	1.27	0.44	0.15	0.59
								1.720	1.20	-3.02	-8.00	1.20	0.42	0.16	0.58
								1.740	1.15	-2.69	11.47	1.15	0.40	0.13	0.53
								1.760	1.10	-2.38	13.60	1.10	0.38	0.10	0.48
								1.780	1.06	-2.14	11.15	1.06	0.37	0.08	0.45
								1.800	1.01	-1.94	9.53	1.01	0.35	0.07	0.42
								1.820	0.98	-1.79	9.31	0.98	0.34	0.06	0.40
								1.840	0.94	-1.58	9.88	0.94	0.33	0.04	0.37
								1.860	0.91	-1.37	10.45	0.91	0.32	0.03	0.35
								1.880	0.89	-1.16	10.54	0.89	0.31	0.02	0.33
								1.900	0.87	-0.95	10.64	0.87	0.30	0.02	0.32
								1.920	0.85	-0.74	10.42	0.85	0.29	0.01	0.30
								1.940	0.84	-0.52	9.73	0.84	0.29	0.00	0.30
								1.960	0.83	-0.34	8.93	0.83	0.29	0.00	0.29
								1.980	0.82	-0.18	8.84	0.82	0.29	5.76E-4	0.29
								2.000	0.82	-0.01	9.81	0.82	0.29	1.32E-6	0.29
								2.020	0.82	0.20	10.68	0.82	0.29	7.29E-4	0.29
								2.040	0.83	0.45	10.30	0.83	0.29	0.00	0.29
								2.060	0.84	0.64	9.31	0.84	0.29	0.01	0.30
								2.080	0.86	0.79	9.27	0.86	0.30	0.01	0.31
								2.100	0.87	0.98	10.06	0.87	0.30	0.02	0.32
								2.120	0.89	1.22	10.11	0.89	0.31	0.03	0.34
								2.140	0.92	1.42	9.27	0.92	0.32	0.04	0.36
								2.160	0.95	1.57	9.29	0.95	0.33	0.04	0.37
								2.180	0.98	1.75	10.23	0.98	0.34	0.05	0.40
								2.200	1.02	2.00	11.52	1.02	0.35	0.07	0.43
								2.220	1.06	2.21	11.91	1.06	0.37	0.09	0.46
								2.240	1.11	2.49	11.49	1.11	0.39	0.11	0.50
								2.260	1.16	2.69	6.01	1.16	0.40	0.13	0.53
								2.280	1.23	2.90	-12.90	1.23	0.43	0.15	0.57
								2.300	1.27	2.52	-43.21	1.27	0.44	0.11	0.55
								2.320	1.35	1.11	-67.16	1.35	0.47	0.02	0.49
								2.340	1.34	-0.71	-64.30	1.34	0.47	0.01	0.47
								2.360	1.29	-1.93	-38.52	1.29	0.45	0.07	0.51
								2.380	1.24	-2.15	-11.66	1.24	0.43	0.08	0.51
								2.400	1.21	-2.07	2.74	1.21	0.42	0.08	0.50
								2.420	1.16	-1.97	7.89	1.16	0.40	0.07	0.47
								2.440	1.12	-1.78	10.58	1.12	0.39	0.06	0.45
								2.460	1.09	-1.49	11.90	1.09	0.38	0.04	0.42
								2.480	1.07	-1.28	11.78	1.07	0.37	0.03	0.40
								2.500	1.04	-1.05	11.19	1.04	0.36	0.02	0.38
								2.520	1.02	-0.81	10.48	1.02	0.36	0.01	0.37
								2.540	1.01	-0.61	9.23	1.01	0.35	0.01	0.36
								2.560	1.00	-0.45	8.63	1.00	0.35	0.00	0.35
								2.580	0.99	-0.29	9.01	0.99	0.34	0.00	0.35
								2.600	0.99	-0.10	9.85	0.99	0.34	1.62E-4	0.34
								2.620	0.99	0.11	10.41	0.99	0.34	2.12E-4	0.34
								2.640	0.99	0.32	10.55	0.99	0.34	0.00	0.35
								2.660	1.00	0.53	10.54	1.00	0.35	0.01	0.35
								2.680	1.01	0.75	9.96	1.01	0.35	0.01	0.36
								2.700	1.03	0.95	9.02	1.03	0.36	0.02	0.37
								2.720	1.05	1.10	8.68	1.05	0.36	0.02	0.39
								2.740	1.08	1.26	10.46	1.08	0.37	0.03	0.40
								2.760	1.10	1.48	14.48	1.10	0.38	0.04	0.42
								2.780	1.13	1.83	17.08	1.13	0.39	0.06	0.45
								2.800	1.17	2.27	15.34	1.17	0.41	0.09	0.50
								2.820	1.22	2.52	4.75	1.22	0.43	0.11	0.54
								2.840	1.28	2.63	-18.94	1.28	0.44	0.12	0.57
								2.860	1.33	2.04	-48.90	1.33	0.46	0.07	0.53
								2.880	1.38	0.48	-66.25	1.38	0.48	0.00	0.48
								2.900	1.37	-1.19	-54.71	1.37	0.47	0.03	0.50
								2.920	1.30	-2.09	-23.56	1.30	0.45	0.08	0.53
								2.940	1.27	-1.96	3.20	1.27	0.44	0.07	0.51
								2.960	1.23	-1.58	14.05	1.23	0.43	0.04	0.47
								2.980	1.20	-1.31	13.09	1.20	0.42	0.03	0.45
								3.000	1.18	-1.05	9.55	1.18	0.41	0.02	0.43
								3.020	1.16	-0.93	7.71	1.16	0.40	0.02	0.42
								3.040	1.14	-0.83	8.75	1.14	0.40	0.01	0.41
								3.060	1.13	-0.61	11.38	1.13	0.39	0.01	0.40
								3.080	1.12	-0.31	12.40	1.12	0.39	0.00	0.39
								3.100	1.11	-0.07	11.52	1.11	0.39	9.33E-5	0.39
								3.120	1.12	0.12	10.98	1.12	0.39	2.70E-4	0.39
								3.140	1.12	0.33	11.86	1.12	0.39	0.00	0.39
								3.160	1.13	0.60	12.13	1.13	0.39	0.01	0.40
								3.180	1.14	0.88	9.86	1.14	0.40	0.01	0.41
								3.200	1.16	1.04	6.94	1.16	0.40	0.02	0.42
								3.220	1.19	1.08	5.78	1.19	0.41	0.02	0.43
								3.240	1.21	1.23	6.89	1.21	0.42	0.03	0.45
								3.260	1.23	1.38	7.56	1.23	0.43	0.03	0.46
								3.280	1.27	1.56	0.54	1.27	0.44	0.04	0.48
								3.300	1.29	1.65	-17.02	1.29	0.45	0.05	0.50
								3.320	1.33	1.02	-37.45	1.33	0.46	0.02	0.48
								3.340	1.36	-0.12	-43.84	1.36	0.47	2.64E-4	0.47
								3.360	1.32	-1.16	-29.36	1.32	0.46	0.02	0.48
								3.380	1.29	-1.43	-8.01	1.29	0.45	0.04	0.48
								3.400	1.27	-1.19	5.61	1.27	0.44	0.03	0.46
								3.420	1.24	-1.05	9.24	1.24	0.43	0.02	0.45
								3.440	1.22	-0.87	9.81	1.22	0.42	0.01	0.44
								3.460	1.21	-0.65	10.64	1.21	0.42	0.01	0.43
								3.480	1.20	-0.42	10.29	1.20	0.42	0.00	0.42
								3.500	1.19	-0.22	9.47	1.19	0.41	8.78E-4	0.41
								3.520	1.19	-0.06	9.25	1.19	0.41	6.23E-5	0.41
								3.540	1.19	0.13	9.70	1.19	0.41	3.07E-4	0.41
								3.560	1.19	0.34	9.78	1.19	0.41	0.00	0.42
								3.580	1.20	0.54	9.59	1.20	0.42	0.01	0.42
								3.600	1.22	0.70	9.53	1.22	0.42	0.01	0.43
								3.620	1.23	0.92	9.39	1.23	0.43	0.01	0.44
								3.640	1.25	1.11	7.66	1.25	0.43	0.02	0.46
								3.660	1.28	1.27	-0.33	1.28	0.44	0.03	0.47
								3.680	1.30	1.27	-15.08	1.30	0.45	0.03	0.48
								3.700	1.33	0.71	-28.90	1.33	0.46	0.01	0.47
								3.720	1.35	-0.15	-29.78	1.35	0.47	3.88E-4	0.47
								3.740	1.31	-0.78	-15.51	1.31	0.46	0.01	0.47
								3.760	1.30	-0.81	0.23	1.30	0.45	0.01	0.46
								3.780	1.29	-0.49	6.05	1.29	0.45	0.00	0.45
								3.800	1.28	-0.41	3.24	1.28	0.44	0.00	0.45
								3.820	1.28	-0.45	3.69	1.28	0.44	0.00	0.45
								3.840	1.26	-0.46	10.38	1.26	0.44	0.00	0.44
								3.860	1.25	0.00	13.83	1.25	0.43	2.09E-8	0.43
								3.880	1.25	0.38	8.50	1.25	0.43	0.00	0.44
								3.900	1.29	0.37	6.11	1.29	0.45	0.00	0.45
								3.920	1.27	0.20	-12.62	1.27	0.44	6.84E-4	0.44
								3.940	1.28	0.92	-62.87	1.28	0.44	0.02	0.46
								3.960	1.29	-1.69	-105.83	1.29	0.45	0.05	0.50
								3.980	1.38	-5.29	-77.03	1.38	0.48	0.50	0.98
								4.000	0.96	-6.29	24.58	0.96	0.33	0.70	1.03
								4.020	0.97	-3.72	93.37	0.97	0.34	0.25	0.58
								4.040	0.95	-0.31	85.21	0.95	0.33	0.00	0.33
								4.060	0.95	-0.07	38.03	0.95	0.33	8.11E-5	0.33
								4.080	0.94	0.28	5.61	0.94	0.33	0.00	0.33
								4.100	0.96	0.25	-3.50	0.96	0.33	0.00	0.34
								4.120	0.97	0.05	-9.60	0.97	0.34	4.04E-5	0.34
								4.140	0.95	-0.25	-8.22	0.95	0.33	0.00	0.33
								4.160	0.96	-0.37	-1.37	0.96	0.33	0.00	0.33
								4.180	0.94	-0.32	3.55	0.94	0.33	0.00	0.33
								4.200	0.93	-0.05	36.43	0.93	0.32	3.69E-5	0.32
								4.220	0.94	-0.15	69.69	0.94	0.33	3.87E-4	0.33
								4.240	0.95	3.83	40.83	0.95	0.33	0.26	0.59
								4.260	0.90	4.17	-54.92	0.90	0.31	0.31	0.62
								4.280	1.43	0.54	-131.65	1.43	0.50	0.01	0.50
								4.300	0.97	-3.45	-54.33	0.97	0.34	0.21	0.55
								4.320	0.96	-4.35	99.47	0.96	0.33	0.34	0.67
								4.340	0.96	2.54	150.87	0.96	0.33	0.11	0.45
								4.360	0.91	6.49	25.24	0.91	0.32	0.74	1.06
								4.380	1.32	3.82	-150.46	1.32	0.46	0.26	0.71
								4.400	1.38	-2.60	-172.89	1.38	0.48	0.12	0.60
								4.420	0.95	-6.43	-14.29	0.95	0.33	0.73	1.06
								4.440	0.97	-4.01	137.92	0.97	0.34	0.29	0.62
								4.460	0.96	3.52	125.14	0.96	0.33	0.22	0.55
								4.480	0.89	4.00	-20.65	0.89	0.31	0.28	0.59
								4.500	1.45	0.57	-129.42	1.45	0.50	0.01	0.51
								4.520	0.96	-3.54	-53.17	0.96	0.33	0.22	0.55
								4.540	0.96	-4.46	122.95	0.96	0.33	0.35	0.69
								4.560	0.95	2.66		0.95	0.33	0.13	0.46
								4.580	0.92	9.12		0.92	0.32	1.47	1.79
								4.600	1.32			1.32	0.46		
